data,assunto,veiculo,link,eixo_institucional,abrangencia,campus
2021-11-19,IF Baiano abre 300 vagas para curso sobre ensino de estudantes com autismo,Agência Sertão,https://news.google.com/rss/articles/CBMisgFBVV95cUxQeWpLb0lhaXVkMDVjTnNvUFZISi0zSDltM190THdzNERTMlBfRl81bzNqdGRxaGpVLWxOQm1tb3RTWk84MWZjbVExVzk4UHBMYWpPLXpxZjY5SXc3ZGxESkRGN1lyc2RKZ25SYVJWN00xNU42di0yQW1qOUpaaGc5d0F4TnJxclo4dkpOREdBUUIxdGEzUlVyMEtQM1JYSE9DbGVZeVJqcnN6WnAyNE52dWln0gGyAUFVX3lxTFB5aktvSWFpdWQwNWNOc29QVkhKLTNIOW0zX3RMd3M0RFMyUF9GXzVvM2p0ZHFoalUtbE5CbW1vdFNaTzgxZmNtUTFXOThQcExhak8tenFmNjlJdzdkbERKREY3WXJzZEpnblJhUlY3TTE1TjZ2LTJBbWo5SlpoZzl3QXhOcnFyWjh2Sk5ER0FRQjF0YTNSVXIwS1AzUlhIT0NsZVl5Umpyc3pacDI0TnZ1aWc?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Geral / Não Especificado
2021-11-18,Barragem de Sobradinho deve atingir 35% de volume útil na próxima quinta-feira (25),Notícias de Bom Jesus da Lapa,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPNGV1UGpWVkdybnU1UEFScU1tdUY2S2FxbUhldVlFNU95Nl9hang4TWI2QXF2VnZpSVo5aWNRMXhna3NodEVZZ2ZnMWlyMTN5QkFBNURLbVJJRmtfbzdjSmRwWjhlYUlhYkt1ejk5aVJNRXVqRHBHaDg3WGZkM2dmNE4yU1dzOFl5eENpVUhHeG1IdHRsRDBrOE9aWWhQRVBLSU9mY3NQS3hRTFpIZ3BxVGRlUVBnb3BiX25tOFVpTW9ONXh3d2ZwZQ?oc=5&hl=en-US&gl=US&ceid=US:en,Extensão,Imprensa Local,Bom Jesus da Lapa
2021-11-18,"Administrada por Rogério Costa, Santo Estêvão é uma das cidades que mais cresce na Bahia",Jornal Grande Bahia,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNNF9rc2YzVXg3QktoWVhpNTQ1N2d4dnBzLUVLbG11YmpURk55dDdmd2xtZUJTU1d4SWNoZFRDTlZBN0d0c0RkNTBDSlIwci1RenZXMnBMWjFaWVJseTlBRG5tTTRTalY1TTdLZWZFOUxvamp0Y1dnbGhzVXI2MkdwX20wMDN3S2plcng5Tjk1eUFkd2NnVkRJYkpXNE5scGNnQ1U0dEU1MjNhYjZCbXRodGlhU0NMTHV5UDFKRi1zQ0syWjJBbDdtbg?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Especializados (Nichos),Santo Estêvão
2021-11-11,IFBA Campus Barreiras abre inscrições do Processo seletivo para cursos técnicos,Notícias de Bom Jesus da Lapa,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPZEZ6SUJYZXRzNlpaMVhaLVptY21kWnYtSDZEb3hXMWhmTEVZMmI4TnlvV2IxRFBtRGhNSUpjUnkwN28xWmptMm9FS0FKdzM3VmpXT2hCYWtDbFFLS1VJcVBUcllFX1dIZWpLR1d0YUpmcmJzeHRFU29POTFrUVZIMkM1ajhHSnFRdDJEa3M1cHl2MVNzRVZQbFFQd0NGNmZPM055eHpVYjZVZlluOTVKVXZROW9tREp4NGcweXZJZ25uYnhLQW9Bag?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Bom Jesus da Lapa
2021-11-10,V Encontro sobre Caprinos e Ovinos,A Tarde,https://atarde.uol.com.br/coluna/tempopresente/2200552-ilheus-retoma-festa-da-literatura-no-dia-19-premium,Institucional,Imprensa Regional (Bahia),Geral / Não Especificado
2021-11-10,Ponte sobre o rio São Francisco ligando Barra a Xique-Xique será inaugurada no dia 3 de dezembro,Notícias da Lapa,https://news.google.com/rss/articles/CBMi3wFBVV95cUxONjFKTHBTYmhsTjlUMTlJaHduWjZRbnZ3VGZOWV9qbVdfb2NXMm9aUEVIejczaGtiQTRJLTdxMXpxWWZLUHNfUmhsY1lvTHRETU5fOE9FVDA3Unc3NWxWWTBSaVdVT1kyQ2FrM1F3SzFkZzBWWFN6dDVhU1ZwbG1zcTRTSUlhN29WdEhIMWRmeGtWNzlSNnVPdy0xaVNhSnZyVUh6dW8yUFBicV90YkMzSlp2R3hLVjluWUFnM080bllnQ3lXdjVGOVVRQlpjdVFROWNNdnk3QWhCQ0d0UHJR?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Bom Jesus da Lapa
2021-11-08,Equipe de limpeza de Bom Jesus da Lapa ganha novos uniformes de trabalho,Notícias de Bom Jesus da Lapa,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOZDdQaWhYVDZfZ3I5NFk1dGpVQ1lCNkNjd3UwY3BuczJnc1Q5OS1oZmo2OWdVbllYSlhwZm9zVGRjVFZRQzlmSlF3cnB6WEE2UWdOczN3NkpEODh5N2pJUlJEYURhTGhQRVA3VmhIY2FZVjhkRmdOekcyNHB0dHdtR2JRTDFtVzVqSVpsY0VGSG1rWGxTbnVILUNDVjA5RFBZVXJ0N3pPMXNSQWxNN1ZyT2hwaGpKel9EZ09wdGNucXU4eUlfbG9reDl3YXA0c0VZ?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Bom Jesus da Lapa
2021-11-05,"Criação de galinhas caipiras diversifica atividades em projeto de irrigação de Ceraíma, em Guanambi",Agência Sertão,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOaEVkOWpvTmVYVWwzaU1ONjdiTW1TTlJEYTVkX1lpMWszVHI0eUgwUHVxdVY5aGJTazNodVZLSXU3RXpJQ2Z3VmhxT2dBaEE3eGlTMDBSUFdXckRtUEJwQVZFMzVsZV9GcFI5eTR4OXRIZXNTaUpfZEp4Q0ZNX3doS01RQW9HeVd0bHRLYkd6eGlmTjR4cjVUQzg0WVl3cnVnYTN3eENLZ0VrTjNSbVd1Q3AxdjBnSllSbnRZdkw4ZlZUTnpLTm1oWHZLcmN4QV94MHfSAdIBQVVfeXFMTmhFZDlqb05lWFVsM2lNTjY3Yk1tU05SRGE1ZF9ZaTFrM1RyNHlIMFB1cXVWOWhiU2szaHVWS0l1N0V6SUNmd1ZocU9nQWhBN3hpUzAwUlBXV3JEbVBCcEFWRTM1bGVfRnBSOXk0eDl0SGVzU2lKX2RKeENGTV93aEtNUUFvR3lXdGx0S2JHenhpZk40eHI1VEM4NFlZd3J1Z2Ezd3hDS2dFa04zUm1XdUNwMXYwZ0pZUm50WXZMOGZWVE56S05taFh2S3JjeEFfeDB3?oc=5&hl=en-US&gl=US&ceid=US:en,Extensão,Imprensa Local,Guanambi
2021-11-04,Cursos do IF Baiano Campus Guanambi receberam boas avaliações no Guia da Faculdade do Estadão,Agência Sertão,https://news.google.com/rss/articles/CBMiywFBVV95cUxNcHRkOVFZaHRlTXVqYldUV2gtV2ZBRm4xQmliSDU1YzExbHZ6czNqaVhnUlBwdGZtM3dTclAtN2htVVFzcVJOVnp5dFZEZVl6ZURPTkozV0tBMmkwRHhSUU02RU4wM25HU05VU0VyMWNIZmNHNmxldjAxczljeHNoVFBxVWg3b3ZxUC1fMVJzeDhiQjhNX2w5Q09abHB3bEZSbmVQVVBBczhkc24tcTAzblVsbWZxXzl0NE9xcXlYQzVaVXo1aGtRbWtIRdIBywFBVV95cUxNcHRkOVFZaHRlTXVqYldUV2gtV2ZBRm4xQmliSDU1YzExbHZ6czNqaVhnUlBwdGZtM3dTclAtN2htVVFzcVJOVnp5dFZEZVl6ZURPTkozV0tBMmkwRHhSUU02RU4wM25HU05VU0VyMWNIZmNHNmxldjAxczljeHNoVFBxVWg3b3ZxUC1fMVJzeDhiQjhNX2w5Q09abHB3bEZSbmVQVVBBczhkc24tcTAzblVsbWZxXzl0NE9xcXlYQzVaVXo1aGtRbWtIRQ?oc=5&hl=en-US&gl=US&ceid=US:en,Ensino,Imprensa Local,Guanambi
2021-11-04,Câmara de Bom Jesus da Lapa aprova requerimento que solicita construção de uma nova rotatória no trevo da BR – 430 com a BA – 160,Notícias de Bom Jesus da Lapa,https://news.google.com/rss/articles/CBMilAJBVV95cUxNWGYtbHdSTGJPTzdxUVFGWkNfblhic2llbkNkTWRiYXdnV3Q2LVZ0WkROTjBpalE4N24wUkd0TkpUU2k0cG5yN1NlSjhSRnNKTlhmY0pVWUt5eGp3Z0wxZmdXa0tGSWF1dzFRZ05kXy1mWGt5LWJ3WGd5NUxXV3ZKUjFWM3pGVEdYendiXzhlZHZmTE9mS3llbWRXUExRWFV1dXFTTURRUDlrX2NJeEozUm1ZemlMSDJwTXFGd3YwSWNDVjFWUkNraExDbDVvRk1wTFBKWVJmR2J5R1pqWlFsOFNVQmF6bmhSemIteFFzSXVlTDROTXJvUTBBaFVjTmIyY1Rja1hHRFpTSmhCLUkwNFQ5NlA?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Bom Jesus da Lapa
