data,assunto,veiculo,link,eixo_institucional,abrangencia,campus
2023-11-28,Unidade do Procon de Brumado será inaugurada nesta quinta-feira,Agência Sertão,https://news.google.com/rss/articles/CBMioAFBVV95cUxNOGRNWjVZTDNLNFRjMlVqRkNDbHlNTnRFZWZiNE9NLTN6QkpERlNNRnpBT251YWJWMEJKT0hGeDk2UWM4NmNOc1ljYlhoRzd4S2VrU3FSNmQ4VW5HVzlJQnRFQ3lrdXhjcFRvcS05V0tBazJ5WHJoM0k0X3lNRndaMVRSX1JkWGE4SEQzLU9YekxNVDFNWERUTnQ1UjRTVk9n0gGgAUFVX3lxTE04ZE1aNVlMM0s0VGMyVWpGQ0NseU1OdEVlZmI0T00tM3pCSkRGU01GekFPbnVhYlYwQkpPSEZ4OTZRYzg2Y05zWWNiWGhHN3hLZWtTcVI2ZDhVbkdXOUlCdEVDeWt1eGNwVG9xLTlXS0FrMnlYcmgzSTRfeU1Gd1oxVFJfUmRYYThIRDMtT1h6TE1UMU1YRFROdDVSNFNWT2c?oc=5&hl=en-US&gl=US&ceid=US:en,Extensão,Imprensa Local,Geral / Não Especificado
2023-11-24,IF Baiano abre 170 vagas para cursos técnicos em Alagoinhas,Agência Sertão,https://news.google.com/rss/articles/CBMingFBVV95cUxNSExzTDBNMU9HOFY5dlBsU0d1LXVpZXBnV2U0Q0FlVERVb1BoS2x5anlzSG5QNXR2YklpLUZUd1NsZ1BUTnZXM182MjFoeEZwcm42b3gzMGxLQXRXUVdDOFV6TU41d1d5Nld3QVVTbUVfbFhXbzBoVFB3VFAyMks3VlcwRUZHbmQ0T0xFeEx4Z3RCMmd4d25KdkZvY0xud9IBngFBVV95cUxNSExzTDBNMU9HOFY5dlBsU0d1LXVpZXBnV2U0Q0FlVERVb1BoS2x5anlzSG5QNXR2YklpLUZUd1NsZ1BUTnZXM182MjFoeEZwcm42b3gzMGxLQXRXUVdDOFV6TU41d1d5Nld3QVVTbUVfbFhXbzBoVFB3VFAyMks3VlcwRUZHbmQ0T0xFeEx4Z3RCMmd4d25KdkZvY0xudw?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Alagoinhas
2023-11-24,Alunos da rede municipal de Inhobim e Capinal são aprovados em seleção do IFBA - Prefeitura Municipal de Vitória da Conquista,Prefeitura Municipal de Vitória da Conquista - PMVC,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOUFFQTkJMR3hsUUFhX21hc2lzMlowb0k2aDF2TUlaV0JlOHNuQnp1YTRyUklmTXJ6NFhwQmk0UDVFTi1sQVdBVGE3akdfdzBuVnBudU9ucUNOQW9PMjltbUhLNFBORXJnMHBwMVJ1ZFY3R0xxcU9fZXNOd1pmckV6QWdPYmR6clAzWG5rYU8zb2ZmSGdMQkRsOGIwSHBFbk5CRng0NFlRMk43QQ?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Institucional / Governamental,Geral / Não Especificado
2023-11-24,V Encontro Fórum para Bandas Filarmônicas será realizado em Salvador,Agência Sertão,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNbHBLb1JDNXdqYU00Y3lWWTNDdS1aejJhRC0zYS1heVZIRlhqMENUb0dzNXhya1QzWkEyeFBVZDJzQUs3Q2NDZHk5M203cTRnbEJuNjFtb0c4M0tUaHNNX1didTlaUEhSWV9reEJlY3VqSVJaMzZvamEzLS0zRmJqZ0k4MFZSOTdBRWEtaW9LY2FPWVR4WFcwSUhzalF4cDRyLVUzbk5HUEtUZ9IBqgFBVV95cUxNbHBLb1JDNXdqYU00Y3lWWTNDdS1aejJhRC0zYS1heVZIRlhqMENUb0dzNXhya1QzWkEyeFBVZDJzQUs3Q2NDZHk5M203cTRnbEJuNjFtb0c4M0tUaHNNX1didTlaUEhSWV9reEJlY3VqSVJaMzZvamEzLS0zRmJqZ0k4MFZSOTdBRWEtaW9LY2FPWVR4WFcwSUhzalF4cDRyLVUzbk5HUEtUZw?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Reitoria (Salvador)
2023-11-22,"Em Barreiras, 75 estudantes da rede municipal de ensino são aprovados no Processo Seletivo do IFBA",Prefeitura de Barreiras – BA,https://news.google.com/rss/articles/CBMixAFBVV95cUxNaUJiQTBjR0IzbGlGakFVVVNPRDREV09KXzF0S3lleGNBbVFPWUtITV9hRHozalhlNVA2bkxGZDFCSElva3hZWGl3TS1FbVlSZHVHRGxuME1XNG0wWWU5dlYtc2FyMzVQR3ViMTBVMjhfUnNaN3NjMWRVVGhyRGhOekllZzRlUi0wV2pRQXVlOTRZOU0yd25jSkg1WnR0a1hTdnBDcU9MUnZ0aGxxaVg2Tzl3TWE1cjdmUndBMllVeWhUcnpk?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Institucional / Governamental,Geral / Não Especificado
2023-11-22,"IF Baiano, oferece 144 vagas de Educação a Distância (EAD), no Polo de Remanso.",Blog do Banana,https://news.google.com/rss/articles/CBMipwFBVV95cUxOQVdWMGNvemV4RUZqRWVCamFYc1RXRlAtX1BQQ0d3MTZPMVJjQVNHSkd3Nl83dE5UZVRTRFVaOGhkWW14VV9zUHd3Mml5REVHNGRsS3NMU2I5ZmlZT1JTTFhNNDZUTDNyb0d2RVhVNzhjRDlvX2hMclJrS1V6ekJ4bjJ5OHh4LVlqaDZDUUt2NERYVldzd3ZZQ0hSLXBnWjFzUmY0ZjFCRQ?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Remanso
2023-11-16,LEI ORÇAMENTÁRIA VOLUME V DETALHAMENTO DAS AÇÕES,GOV.BR,https://news.google.com/rss/articles/CBMinAFBVV95cUxPdWlyXzRFaWxsMldjNVF3cjliY3ZYcXZFckZLMzZHbFFvdTFBWU5fclRBbThvNGlfVldzWDB3ZG5YTVk2LUtWTmU4WlpTampWVXhBZjRpdFBVQlJ2UHJQaW92b1lweFpvZFdzdnFpbzNjT2NUb2k5ZjY4R0VxSDZFZ3BicXFPMXZJenptTlRxQjY2RmM0dE8zUmVwN0c?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Institucional / Governamental,Geral / Não Especificado
2023-11-14,Instituto Federal Baiano tem inscrições abertas para seleção de estudantes do ensino médio no interior da BA,G1,https://news.google.com/rss/articles/CBMi9gFBVV95cUxPWl9YVnRBSE55WkpHb0x1Z05BWGZYNVZqTlJHb01Ddy1CeGw0TkI1b1VzVkkzNnJ6TzZEdlBwMUhQMllPeER1UHVzUk13QVJ1TjJ6bGNuVWZoQmpBWVpxR0tCTGgwc0N5Si1JaVBIMDFQT0ZyT2JjdDQ4cTVMVzluU1Q1Nks5QlFlaHR4SkRkRDlYMU93NkRHRjQ0WTlDSDY1UDFyY3BnRXZ5bjNoMVJ1YXJyb2Nsc0txcHNFbkwxVTUtXzNNaEhsYjJuby1qbER5NzZxdXYwLUJBeHNNYXprajA1ZUdVcTdvZXpiNTNaV0RyTC1KRWfSAYQCQVVfeXFMT0ZTSEZ6UUNtcHRINnFiSzktSnk4MnYyZHFGTVdOem1tb05WUURHa2pqazRHQWRDcTFLbXBBMExuRlZOSmNQTjQ3N0VhWlQxbnBiMVJ1UHVTWDNZbUxic25RTzgwZ1IwamdlSVZfenl6S1VSU2ZoV3QyQ0ZCS3loeWNhQ2RXaUdaNkNsVGVVMS1TczFXQXpDSmFQNGU2SnUzNmRUTFBrTzhGaXhDbWd0SXI3Y1QzdW4yYUtnR3NLTFFfazVZbWJ6eHB5bVVleVZORDk1OGIwaVJ6b2tqVFVvYlBMVGhQMjJTS0JPbkJlQVliZm95V0Jwa3YwQllzRDZ1VnhDcFA?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa (Nacional),Geral / Não Especificado
2023-11-13,IF Baiano encerra inscrições para cursos técnicos em Guanambi nesta segunda,Agência Sertão,https://news.google.com/rss/articles/CBMiswFBVV95cUxQakd4Y3E2TUJHb2lPLTN6R3RfYU5JVVVzTTVPRnhUYjFXV1czcVQ1YVNKanlIOGV1QW9BaG5zcERidjE2cFJLMngwSy1ISGktLTBSNGFNalN3U3pIZjdsYnpQd2w5bDFoWHJWRDgtdWpTVEFzYTdkOTFXUldma1Z3UmlBc2ZBMkZEOC1TYW9yZ2tTZDFtRU5hQ0VTSlVuOTh6N1QyUmdodUI3S1ZOWUhNOHhrUdIBswFBVV95cUxQakd4Y3E2TUJHb2lPLTN6R3RfYU5JVVVzTTVPRnhUYjFXV1czcVQ1YVNKanlIOGV1QW9BaG5zcERidjE2cFJLMngwSy1ISGktLTBSNGFNalN3U3pIZjdsYnpQd2w5bDFoWHJWRDgtdWpTVEFzYTdkOTFXUldma1Z3UmlBc2ZBMkZEOC1TYW9yZ2tTZDFtRU5hQ0VTSlVuOTh6N1QyUmdodUI3S1ZOWUhNOHhrUQ?oc=5&hl=en-US&gl=US&ceid=US:en,Ensino,Imprensa Local,Guanambi
2023-11-10,"Sindicato, IF Baiano e Senar promovem evento sobre cultivo do girassol para produção de mel e leite em Palmas de Monte Alto",Agência Sertão,https://news.google.com/rss/articles/CBMi7wFBVV95cUxPVS02YkFCN25TU0M2Y3pra3lObnFsOWxqSlF1bzB6dU5CN1FhWEF2bGVXZmxrcjJ4a0lZTGFhT3FQcTNsZFRfWk9YTE9HSU9sUFh2RENEbnltODk3a1gxWDZaNWlwT1NIeXJoUk5HN3NfbVZja0Y1aW92N05vWUJXd281V0syQWY3cUEwN3AzUWwwcEpxMWtQanlUTTEzdkxnN1FOQmxoRk5uRDU4UDEtSVhvem81UWtqX3IwS00xR1VsVTF1Q3R6SFpGOVYtYW5seUJSOTU4YlJZNGNUbmxZQW51Q1VhaUZpRl9NSjJ2Y9IB7wFBVV95cUxPVS02YkFCN25TU0M2Y3pra3lObnFsOWxqSlF1bzB6dU5CN1FhWEF2bGVXZmxrcjJ4a0lZTGFhT3FQcTNsZFRfWk9YTE9HSU9sUFh2RENEbnltODk3a1gxWDZaNWlwT1NIeXJoUk5HN3NfbVZja0Y1aW92N05vWUJXd281V0syQWY3cUEwN3AzUWwwcEpxMWtQanlUTTEzdkxnN1FOQmxoRk5uRDU4UDEtSVhvem81UWtqX3IwS00xR1VsVTF1Q3R6SFpGOVYtYW5seUJSOTU4YlJZNGNUbmxZQW51Q1VhaUZpRl9NSjJ2Yw?oc=5&hl=en-US&gl=US&ceid=US:en,Extensão,Imprensa Local,Geral / Não Especificado
2023-11-09,IF Baiano abriu 120 vagas para cursos técnicos em Itaberaba,Agência Sertão,https://news.google.com/rss/articles/CBMingFBVV95cUxPTTZydF9ueDItMEhTa2Z1WVVSUHRpY2Q2bDg1bmtLVFYxRnVPRWpEOUJJNkxSSFZqazNxT3BYNDBxRmk0Wnpxc1NjVUNMNTBQOGpKZ3RUeWhrUGZ6c0hEdkNOZVZ5dW5kYTlDUmg0Z0pPdHU0Ujlya1p0TmIyTUFKcHRiYzBGSVVfcFQxRzdKbHYySU90UWZNZDFKUlFmZ9IBngFBVV95cUxPTTZydF9ueDItMEhTa2Z1WVVSUHRpY2Q2bDg1bmtLVFYxRnVPRWpEOUJJNkxSSFZqazNxT3BYNDBxRmk0Wnpxc1NjVUNMNTBQOGpKZ3RUeWhrUGZ6c0hEdkNOZVZ5dW5kYTlDUmg0Z0pPdHU0Ujlya1p0TmIyTUFKcHRiYzBGSVVfcFQxRzdKbHYySU90UWZNZDFKUlFmZw?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Itaberaba
